Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
11,2/14/20,5:06:58 PM,2,4,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Toso, Dominic",1000066995,Right,RIC_SPI,Windup,1,Top,1,1,2,Slider,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,84.01429087,-0.343312194,-2.352725619,2263.172471,166.3956317,0.479166667,5.598499809,2.110460033,5.800760142,-32.73444434,7.240046155,-1.761231609,2.551098565,-0.22541954,76.29598476,-6.493674448,-2.68486718,0.455054053,,,,,,,,,,,,0.220482278,4.00902337,-1.916399274,50,5.550984627,5.070900647,-122.0998847,-1.741773607,0.329215358,26.48931533,-26.1879345,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,51a8aec5-4f76-11ea-ace5-181deafaf045
12,2/14/20,5:07:33 PM,2,5,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Toso, Dominic",1000066995,Right,RIC_SPI,Windup,1,Top,1,1,2,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,94.69467391,-1.699387465,-6.353879325,2409.788622,221.1995339,0.052083333,5.516759197,2.19572039,6.384096831,-16.54972843,14.91088797,13.07917634,2.564476775,-2.582422255,84.43091371,-4.867570632,-3.861042083,0.403696638,,,,,,,,,,,,-9.43471409,8.825723406,-1.743540174,50,5.386342613,14.84027858,-136.8690578,-4.592579694,-17.4764002,36.82549144,-15.82571273,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,63952dd6-4f76-11ea-ace5-181deafaf045
13,2/14/20,5:07:51 PM,2,6,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Toso, Dominic",1000066995,Right,RIC_SPI,Windup,1,Top,1,2,2,Fastball,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,96.06681803,-2.491590937,-4.515112066,2534.682757,223.2408987,0.0625,5.326496527,2.39396912,6.201795839,-13.63683089,16.92369048,15.94217322,1.881904368,-0.453317492,85.92382873,-5.094024464,-1.474965063,0.397879806,78.68829946,-18.74430382,7.906926274,,,,,3.631927727,1.349089411,18.68084779,0.043408813,-10.27278246,10.12468916,-2.062586277,50,5.132152317,10.47465758,-139.1807443,-6.516569595,-19.73029864,37.31192197,-12.72818357,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,6c87d9a9-4f76-11ea-ace5-181deafaf045
14,2/14/20,5:08:22 PM,3,1,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Forte, Anthony",8893129,Left,RIC_SPI,Windup,1,Top,2,0,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,95.75066802,-2.174898297,-3.599671904,2508.682795,216.2449649,0.052083333,5.403547588,2.43452484,6.215412706,-14.92280364,15.665373,11.50529368,2.148275093,0.067515825,85.96786876,-5.016911582,-1.40601532,0.398059793,,,,,,,,,,,,-7.498878682,9.307377163,-2.170771185,50,5.233157593,8.368880577,-138.9384904,-5.768916104,-14.39192768,36.40392531,-14.31123136,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,7e6d30cd-4f76-11ea-ace5-181deafaf045
15,2/14/20,5:08:42 PM,3,2,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Forte, Anthony",8893129,Left,RIC_SPI,Windup,1,Top,2,0,1,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,96.54281649,-2.854918629,-3.976542114,2453.702614,197.2028372,0.520833333,5.515591411,2.17230697,6.00032488,-11.55726012,18.86946751,5.850957049,1.898964705,-1.030111443,86.57678332,-5.045274161,-2.866517573,0.397007894,,,,,,,,,,,,-4.51145249,11.21993915,-1.862770648,50,5.284454138,9.526414146,-139.8901975,-7.384342077,-8.769816623,37.15515545,-10.36359858,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,9003de01-4f76-11ea-ace5-181deafaf045
16,2/14/20,5:08:59 PM,3,3,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Forte, Anthony",8893129,Left,RIC_SPI,Windup,1,Top,2,0,2,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,96.69704623,-3.148110392,-5.452416041,2497.944239,203.4426922,0.53125,5.539448664,2.149743577,6.051771202,-10.8495355,19.51569325,8.474844783,1.705385018,-2.20580896,86.77046215,-5.205266484,-3.849458848,0.396606472,,,,,,,,,,,,-6.412550527,11.67054121,-1.72978277,50,5.287986089,13.06038986,-139.8083127,-8.08858569,-12.47299681,36.59803256,-9.473779356,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,9945339a-4f76-11ea-ace5-181deafaf045
17,2/14/20,5:09:17 PM,3,4,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Forte, Anthony",8893129,Left,RIC_SPI,Windup,1,Top,2,1,2,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,95.36805541,-0.741199968,-2.924675209,2430.219864,202.9931164,0.53125,5.48693583,2.041598324,5.982803439,-14.36801736,16.64776662,7.076571625,3.601754662,-0.08150669,85.59774823,-3.469223279,-1.580957726,0.400832475,,,,,,,,,,,,-4.80791333,9.290673727,-1.814750583,50,5.420581517,6.838181486,-138.5118038,-2.278175424,-9.177989275,35.95933168,-14.4387655,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,a237df55-4f76-11ea-ace5-181deafaf045
18,2/14/20,5:09:39 PM,3,5,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Forte, Anthony",8893129,Left,RIC_SPI,Windup,1,Top,2,1,2,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,96.84353595,-2.58113246,-5.151420988,2450.119022,206.9780205,0.041666667,5.545493931,2.113042285,6.228016396,-15.73930809,13.91210974,7.096044422,1.841574608,-2.060534604,88.15334964,-5.550304829,-3.813144332,0.391917134,,,,,,,,,,,,-5.374394992,8.353881229,-1.731568972,50,5.34433672,12.41667901,-140.3202268,-6.869197607,-10.67159144,32.96468353,-15.58628239,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,b199a09f-4f76-11ea-ace5-181deafaf045
19,2/14/20,5:09:56 PM,3,6,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Forte, Anthony",8893129,Left,RIC_SPI,Windup,1,Top,2,2,2,ChangeUp,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,87.0526088,-2.182361768,-4.136916775,1814.256281,240.797237,0.083333333,5.224709655,2.032851151,6.941153765,-29.91230771,5.787477473,10.41435121,0.739850092,-0.870562333,79.38267763,-7.89688721,-2.136431273,0.430035511,,,,,,,,,,,,-7.105095515,3.913886054,-1.77922777,50,5.078183992,8.884114835,-126.4690466,-5.58804217,-11.40554932,27.92433888,-25.89123077,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,bbbd682c-4f76-11ea-ace5-181deafaf045
20,2/14/20,5:10:15 PM,3,7,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Forte, Anthony",8893129,Left,RIC_SPI,Windup,1,Top,2,3,2,Curveball,Undefined,BallCalled,Walk,Undefined,Undefined,0,0,,79.26358199,0.32432457,-0.683136616,2157.090526,62.1034108,0.333333333,5.609196329,1.911933386,5.604174803,-49.06711967,-3.5577349,-6.639533309,1.823007691,0.720992821,71.83725013,-8.874382666,-1.937548019,0.485536631,,,,,,,,,,,,3.333600795,-2.016024481,-1.84937361,50,5.605870391,1.571908627,-115.1800442,-0.815308089,4.394325755,25.13226594,-34.83155581,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,c2740032-4f76-11ea-ace5-181deafaf045
21,2/14/20,5:11:02 PM,4,1,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Blakely, Drew",8899225,Right,RIC_SPI,Stretch,1,Top,2,0,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,92.81068996,-1.128590344,-3.237453428,2366.387978,232.5487126,0.072916667,5.324396954,2.206796939,6.013200315,-21.91654476,10.71476257,14.02841353,2.450881781,0.374021548,83.72962688,-5.278339809,-0.576185211,0.411139076,,,,,,,,,,,,-8.656586311,6.183736258,-1.960673534,50,5.224020178,7.165420707,-134.7821623,-3.375719332,-15.70322477,33.08421399,-20.9566244,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,e0da9012-4f76-11ea-ace5-181deafaf045
22,2/14/20,5:11:31 PM,4,2,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Blakely, Drew",8899225,Right,RIC_SPI,Stretch,1,Top,2,0,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,93.95000642,-0.700468993,-5.700539614,2414.071038,232.9400274,0.072916667,5.399231587,2.291899899,6.029638252,-15.53323467,16.54215627,21.94437559,3.452947581,-1.175242265,84.20183903,-3.651382395,-1.546275263,0.407621889,,,,,,,,,,,,-13.78550447,9.227197504,-1.857573456,50,5.335974871,12.85399536,-135.985457,-2.180802952,-25.41614584,34.10317367,-15.16199085,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,f2bfe6d3-4f76-11ea-ace5-181deafaf045
23,2/14/20,5:12:17 PM,4,3,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Blakely, Drew",8899225,Right,RIC_SPI,Stretch,1,Top,2,1,1,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,93.4316886,-1.452047244,-4.028555337,2441.195454,223.7288289,0.0625,5.403311077,2.331233183,5.906790084,-18.46295474,13.91972639,13.34451081,2.513483108,-0.301733487,84.21469861,-4.941347897,-1.505598242,0.409569794,,,,,,,,,,,,-8.50250782,7.997166134,-2.01538164,50,5.276181777,9.097487768,-135.5271597,-4.062876827,-15.60354202,33.2966687,-17.49789413,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,0d97e98a-4f77-11ea-ace5-181deafaf045
24,2/14/20,5:12:47 PM,4,4,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Blakely, Drew",8899225,Right,RIC_SPI,Stretch,1,Top,2,1,2,Slider,Undefined,InPlay,Undefined,LineDrive,Single,0,0,,84.18644893,-0.110341587,-1.973191087,2062.219305,116.4808081,0.416666667,5.571862313,1.988659216,5.90221847,-35.18760834,4.459731208,-9.027174889,2.537085717,-0.595773299,76.56478165,-6.727577676,-3.67806177,0.453188148,92.70102724,13.34843844,-18.86933667,1755.13846,104.2166341,20.84253587,-35.19790004,254.9366874,254.0152637,-20.41792728,2.611616821,4.270448636,2.447259491,-1.825175529,50,5.543033952,4.49096841,-122.4007848,-1.303824997,6.405135581,26.7172209,-28.50346727,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,1f7d3f4f-4f77-11ea-ace5-181deafaf045
25,2/14/20,5:13:33 PM,5,1,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Schulefand, Jordan",8887200,Right,RIC_SPI,Stretch,1,Top,2,0,0,Fastball,Undefined,InPlay,Undefined,GroundBall,Out,1,0,,93.05659942,-2.604459721,-3.859048307,2446.758272,222.7427774,0.0625,5.367663115,2.271601572,6.093806507,-21.8254525,10.63346137,9.855189037,1.133082537,-0.481462189,84.09361201,-6.729069705,-1.989241594,0.410051599,,,,,,,,,,,,-6.604481078,6.629379014,-1.979629578,50,5.15540537,8.785697844,-134.9531296,-6.855986949,-12.00908413,33.21298111,-20.11969192,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,3a55435e-4f77-11ea-ace5-181deafaf045
26,2/14/20,5:16:09 PM,1,1,"Miller, Tim",8900434,Right,RIC_SPI,"Anderson, Ben",1000025449,Left,GEO_BUL,Windup,1,Bottom,0,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.84050676,-1.953014685,-1.201971101,2248.75198,210.1664814,0.041666667,6.183177689,0.589993393,5.805627659,-20.11359749,17.94218791,10.4493526,2.689932066,0.34295701,77.25384036,-5.771794104,0.791577342,0.443998868,,,,,,,,,,,,-6.100486814,10.43463788,-0.497590115,50,6.01143547,2.317373153,-126.0503561,-4.929323531,-9.521613976,32.75600713,-15.88770995,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,9a7842f6-4f77-11ea-ace5-181deafaf045
27,2/14/20,5:16:22 PM,1,2,"Miller, Tim",8900434,Right,RIC_SPI,"Anderson, Ben",1000025449,Left,GEO_BUL,Windup,1,Bottom,0,0,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,83.36469438,-3.082025338,-1.725603997,2072.631731,219.3410776,0.052083333,6.048142802,0.639923933,5.642286902,-27.33822038,14.43995159,11.86845968,0.891271584,0.019004648,74.20785101,-8.238790711,0.535702416,0.465206994,,,,,,,,,,,,-7.046413094,8.944139533,-0.500927024,50,5.769696537,3.273844949,-120.8043155,-7.349550542,-10.06782486,30.7944461,-19.39477644,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,a23e9842-4f77-11ea-ace5-181deafaf045
28,2/14/20,5:16:37 PM,1,3,"Miller, Tim",8900434,Right,RIC_SPI,"Anderson, Ben",1000025449,Left,GEO_BUL,Windup,1,Bottom,0,1,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,86.63709361,-1.337236365,-0.275370432,2261.385378,199.745792,0.53125,6.376249897,0.464894882,5.738311015,-17.55418057,20.77873858,7.471543967,3.668161843,0.831145084,76.89784234,-4.673367811,1.149137017,0.445612603,,,,,,,,,,,,-4.140295781,11.72555366,-0.446462113,50,6.25467729,0.368430401,-125.7939865,-3.491335546,-6.429068216,32.86652825,-13.96656089,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,ab31450c-4f77-11ea-ace5-181deafaf045
29,2/14/20,5:16:51 PM,1,4,"Miller, Tim",8900434,Right,RIC_SPI,"Anderson, Ben",1000025449,Left,GEO_BUL,Windup,1,Bottom,0,2,1,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.92629126,-2.281553776,-1.568143874,2107.367842,170.0737949,0.489583333,6.043262932,0.710893126,5.924767654,-18.13711773,21.30940671,-3.735621149,2.413166873,-1.055648457,75.96684082,-5.718753191,-2.27971481,0.452038984,,,,,,,,,,,,1.479352001,12.37773069,-0.583598287,50,5.850872964,3.487970527,-123.299087,-5.460594836,2.221008441,30.16874003,-13.59088219,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,b3712af6-4f77-11ea-ace5-181deafaf045
30,2/14/20,5:17:06 PM,1,5,"Miller, Tim",8900434,Right,RIC_SPI,"Anderson, Ben",1000025449,Left,GEO_BUL,Windup,1,Bottom,0,2,2,Fastball,Undefined,InPlay,Undefined,GroundBall,Single,0,0,,81.90892442,-1.121461074,-2.507948515,2022.362155,232.0379241,0.072916667,5.766664508,0.901690032,5.828144765,-33.14083589,9.596817926,12.3516416,1.961446693,-0.401524505,73.13345702,-7.404526737,-0.152820255,0.470518666,93.19778645,5.89462658,26.57180277,2771.058413,,,,98.39329912,98.39329912,28.54101093,0.790137939,-7.60792533,5.610076341,-0.704229644,50,5.656068152,4.842515632,-118.8623695,-3.304753227,-10.56720818,28.96264749,-24.38180008,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,bd0f7464-4f77-11ea-ace5-181deafaf045
31,2/14/20,5:17:45 PM,2,1,"Miller, Tim",8900434,Right,RIC_SPI,"Shepherd, Cam",10000425,Right,GEO_BUL,Stretch,1,Bottom,0,0,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,86.30647771,-1.623167517,-1.243083704,2111.954446,191.8954018,0.520833333,6.325776617,0.748714112,5.726370577,-16.56235596,21.84850708,4.609978899,3.433273643,-0.0249025,77.1259101,-4.758284841,-0.367789458,0.446065414,,,,,,,,,,,,-2.91762433,12.34642349,-0.647930752,50,6.180545472,2.573259576,-125.3317215,-4.078187792,-4.531620468,30.88434672,-12.99772594,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,d272a9ba-4f77-11ea-ace5-181deafaf045
32,2/14/20,5:18:01 PM,2,2,"Miller, Tim",8900434,Right,RIC_SPI,"Shepherd, Cam",10000425,Right,GEO_BUL,Stretch,1,Bottom,0,1,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.46925108,-3.448720847,-1.282406674,2071.230679,173.7029948,0.489583333,6.46891315,0.822288718,5.772117527,-10.39924184,28.96107023,-3.199883435,2.388816857,-0.637762284,76.08037551,-5.415443913,-1.891442536,0.451544737,,,,,,,,,,,,1.268856566,16.90304983,-0.714594238,50,6.177870415,2.873222812,-123.9135779,-7.792148983,1.91809204,31.16097468,-6.622220081,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,db65542b-4f77-11ea-ace5-181deafaf045
33,2/14/20,5:18:37 PM,2,3,"Miller, Tim",8900434,Right,RIC_SPI,"Shepherd, Cam",10000425,Right,GEO_BUL,Stretch,1,Bottom,0,1,1,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,76.84858897,1.419855612,-0.095034326,2230.260573,149.163564,0.458333333,6.335860723,0.641270712,5.087414637,-41.73753098,7.815648605,-4.693614608,4.196058604,0.160577222,68.93786602,-6.382444077,-0.975472557,0.506649107,,,,,,,,,,,,2.441257741,3.634299568,-0.628744215,50,6.438410356,0.332078372,-111.5132209,1.45578542,3.00751598,24.09728144,-27.69676054,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,ed4aaccb-4f77-11ea-ace5-181deafaf045
